,name,parroquia,concellu,province,key,time_signature
86,Muiñeira de Xinzo,,Xinzo de Limia,Ourense,F major,6/8
87,Muiñeira de Forcarei,,Forcarei,Pontevedra,G major,6/8
88,Muiñeira da Fonsagrada,,A Fonsagrada,Lugo,C major,6/8
89,Muiñeira de Riocereixa,Riocereixa,Pedrafita do Cebreiro,Lugo,C major,6/8
90,Muiñeira de Gulpilleira,Gulpilleiras,A Fonsagrada,Lugo,C major,6/8
91,Muiñeira de Pacios de Mourisco,Pacios de Mourisco,A Fonsagrada,Lugo,C major,6/8
92,Muiñeira de Teixeira,Teixeira,Pobra de Brollón,Lugo,C major,6/8
93,Muiñeira de Vilar de Conforto,Vilar de Conforto,A Pontenova,Lugo,C major,6/8
94,Muiñeira de Ramiro,Sambreixo,Parga,Lugo,C major,6/8
95,A Cruz de Lobeira,Lobeira,Vilanova de Arousa,Pontevedra,F major,6/8
96,Muiñeira de Desiderio,Vilarmide,A Pontenova,Lugo,C major,6/8
97,Muiñeira,,Navia de Suarna,Lugo,C major,6/8
98,Ribeirana,,Ordes,A Coruña,C major,6/8
99,Danza de Cambados,,Cambados,Pontevedra,C major,6/8
100,Danza de Cambados,,Cambados,Pontevedra,a minor,6/8
101,Muiñeira de Lugo,,Lugo,Lugo,C major,6/8
102,Muiñeira de Cangas de Foz,Cangas de Foz,Foz,Lugo,C major,6/8
103,Muiñeira de Oza dos Ríos,Oza dos Ríos,Betanzos,A Coruña,a minor,6/8
104,Muiñeira de Navia,,Navia de Suarna,Lugo,C major,6/8
105,Muiñeira de Piadela,Santo Estevo de Piadela,Betanzos,A Coruña,C major,6/8
106,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8
107,Muiñeira de Castrelo,Castrelo,Cambados,Pontevedra,C major,6/8
108,Muiñeira de Redondela,,Redondela,Pontevedra,C major,6/8
109,Muiñeira de Berdoias,Berdoias,Vimianzo,A Coruña,C major,6/8
110,Muiñeira,Santiso,Vila de Cruces,Pontevedra,C major,6/8
111,Muiñeira de Abellá,Abellá,Frades,A Coruña,C major,6/8
112,Muiñeira de Outeiro,Outeiro,Arzúa,A Coruña,C major,6/8
113,Muiñeira da Picota,Picota,Mazaricos,A Coruña,C major,6/8
114,Muiñeira de Entreambasaugas,Entreambasaugas,Guntín de Pallares,Lugo,C major,6/8
115,Muiñeira de Cernades,Cernades,,Pontevedra,a minor,6/8
116,Muiñeira Vella de Dombate,,Dombate,A Coruña,C major,6/8
117,Muiñeira,,Pontevedra,Pontevedra,C major,6/8
118,Muiñeira do Condado,O Condado,Pontevedra,,C major,6/8
119,Muiñeira de Lavadores,Lavadores,Vigo,Pontevedra,F major,6/8
120,Muiñeira de Albite,Albite,Beariz,Ourense,C major,6/8
121,Muiñeira Vella de Alvite,Alvite,Curtis,A Coruña,C major,6/8
122,Muiñeira de Cabana,,Cabana,A Coruña,c minor,6/8
123,Muiñeira de Lañas,Lañas,Arteixo,A Coruña,C major,6/8
124,Muiñeira de Chantada,,Chantada,Lugo,C major,6/8
125,Muiñeira de Santaia de Moar,Moar,Frades,A Coruña,C major,6/8
126,Muiñeira de Rubiás,Rubiás,Calvos de Randín,Ourense,C major,6/8
127,Muiñeira de Viceso,Viceso,Brión,A Coruña,C major,6/8
128,Muiñeira das Mariñas,As Mariñas,,A Coruña,C major,6/8
129,Muiñeira,,A Fonsagrada,Lugo,G major,6/8
130,Muiñeira de Riotorto,,Riotorto,Lugo,C major,6/8
131,Muiñeira de Meiraos,Meiraos,Folgoso do Caurel,Lugo,a minor,6/8
132,Muiñeira de Freixido,Freixido,Larouco,Ourense,C major,6/8
133,Muiñeira,Lugariño de Imende,Carballo,A Coruña,F major,6/8
134,Muiñeira de Buscás,Buscás,Ordes,A Coruña,C major,6/8
135,Muiñeira,Xirazga,Beariz,Ourense,c minor,6/8
136,Muiñeira dos gaiteiros de Sar,O Sar,,A Coruña,C major,6/8
137,Muiñeira de Bergantiños,Bergantiños,,A Coruña,C major,6/8
138,Muiñeira da Ponte de Outeiro,San Martín de Corbelle,A Pastoriza,Lugo,C major,6/8
139,Muiñeira de Ferreira de Pantón,San Iago de Castillón,Pantón,Lugo,C major,6/8
140,Muiñeira de Vilantime,,Arzúa,A Coruña,C major,6/8
141,Muiñeira do Castrillón,Bretoña,Pastoriza,Lugo,C major,6/8
142,Muiñeira de Castrillón,Bretoña,A Pastoriza,Lugo,C major,6/8
143,Muiñeira de Guitizá,A Porta,O Sobrado,A Coruña,C major,6/8
144,Muiñeira do Areal,Areal,,Lugo,C major,6/8
145,Muiñeira do Areal,Areal,,Lugo,C major,6/8
146,Muiñeira de Mazaricos,,Mazaricos,A Coruña,F major,6/8
147,Muiñeira de Melide,,Melide,A Coruña,d minor,6/8
148,Muiñeira de Veiga de Forcas,Veiga de Forcas,Lugo,Lugo,f minor,6/8
149,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8
150,Muiñeira da Fonsagrada,,A Fonsagrada,Lugo,C major,6/8
151,Muiñeira,Laroá,A Limia,Ourense,C major,6/8
152,Muiñeira de Cartelle,,Cartelle,Ourense,C major,6/8
153,Muiñeira de Monforte,,Monforte de Lemos,Lugo,C major,6/8
154,Maruxa,,Coruña,Coruña,C major,6/8
155,Muineira de Garceiras,Garceiras,Melide,A Coruña,C major,6/8
156,Muiñeira de Sexo,Sexo,,Pontevedra,d minor,6/8
157,Muiñeira de Santa Maria de Oleiros,Santa Maria de Oleiros,Oleiros,A Coruña ,C major,6/8
158,Muiñeira de Ourense,,Ourense,Ourense,C major,6/8
159,Muiñeira de Mourente,Mourente,Pontevedra,Pontevedra,C major,6/8
