id,name
241,Muiñeira da Ponte de Outeiro
242,Muiñeira de Ferreira de Pantón
243,Muiñeira de Vilantime
244,Muiñeira do Castrillón
245,Muiñeira de Castrillón
246,Muiñeira de Guitizá
247,Muiñeira
248,Muiñeira
249,Muiñeira do Areal
250,Muiñeira do Areal
251,Muiñeira de Mazaricos
252,Villoria
253,Villoria
254,A Camposa
255,Muiñeira de Melide
256,Muiñeira de Veiga de Forcas
257,Muiñeira
258,Muiñeira
259,Muiñeira de Cangas
260,Muiñeira da Fonsagrada
261,Muiñeira
262,Muiñeira de Martiño
263,Muiñeira de Cartelle
264,Muiñeira de Monforte
265,Maruxa
266,Carmela
267,Carmela
268,Volandeira
269,Muineira de Garceiras
270,Muiñeira de Sexo
271,Muiñeira de Santa Maria de Oleiros
272,Muiñeira dos Cigarróns
273,Muiñeira de Ourense
274,Muiñeira de Mourente
275,Muiñeira de Cangas
276,Muiñeira de Cangas
277,Muiñeira de Cangas
278,Muiñeira de Cangas
279,Muiñeira
280,Muiñeira de Poio
281,Muiñeira
282,Muiñeira de Vilanova
283,Muiñeira
284,Muiñeira do Morrazo
285,Muiñeira de Muradelle
286,Muiñeira de Poio
287,Muiñeira de Negros
288,Muiñeira de Visma
289,Muiñeira Antigua
290,Muiñeira
291,Muiñeira
292,Muiñeira de Froxán
293,Muiñeira de Froxán
294,Muiñeira de Froxán
295,Muiñeira de Poio
296,Muiñeira de Poio
297,Muiñeira de Poio
298,Muiñeira de Poio
299,Muiñeira de Poio
300,Muiñeira de Cesures
301,Muiñeira
302,Muiñeira da Xunqueira
303,Muiñeira de Poio
304,Muiñeira de Forcarei
305,Muiñeira do Morrazo
306,Muiñeira de Poio
307,Muiñeira de Piornedo
308,Muiñeira de Lougares
309,Muiñeira
310,Muiñeira de Ponteareas
311,Buxos Verdes
312,Muiñeira do Chao
313,Muiñeira
314,A Grelada
315,Muiñeira dos Sete Estalos
316,Muiñeira de Lugo
317,Muiñeira do Molete
318,Muiñeira do Molete
319,Muiñeira
320,Muiñeira do Morrazo
321,Muiñeira do Morrazo
322,Muiñeira do Morrazo
323,Muiñeira de Oitavén
324,Muiñeira de Neaño
325,Muiñeira de Laxe
326,Muiñeira de Fonmaior
327,A Coruxa
328,Muiñeira de Ibias
329,Muiñeira de Ibias
330,Muiñeira de Valdeferreiros
331,Estróupeles tróupele
332,Muiñeira de Liñeiro
333,Muiñeira Picada
334,Muiñeira Picada
335,Muiñeira
336,Muiñeira
337,Muiñeira Vella
338,Muiñeira de Curuxeiras
339,Muiñeira de Curuxeiras
340,Muiñeira Montañesa
341,Muiñeira de Ramelle
342,Muiñeira da Fonsagrada
343,Muiñeira de Lobios
344,Muiñeira
345,Mariñas de Betanzos
346,Mariñas de Betanzos
347,Muiñeira de Albarellos
348,Muiñeira de Carelle
349,Contraparo
350,Vinde rapazas
351,Muiñeira de Arantón
352,Muiñeira de Pradela
353,Muiñeira Repunteada
354,Muiñeira
355,Santa Mariña
356,Muiñeira de Vilouchada
