,id,name,parroquia,concellu,province,key,time_signature,ratio_negras_corcheas
68,113,Muiñeira Vella de Mórdomo,Traba,Laxe,A Coruña,C major,6/8,0.05263157894736842
69,116,Muiñeira de Carballo,,Carballo,A Coruña,C major,6/8,0.12345679012345678
70,117,Muiñeira de Grixalba,Grixalba,Sobrado dos Monxes,A Coruña,C major,6/8,0.2153846153846154
71,118,Muiñeira de Vilamaior,Vilamaior,Ordes,A Coruña,C major,6/8,0.23809523809523808
72,119,Muiñeira de Cances,Cances,Carballo,A Coruña,a minor,6/8,0.12790697674418605
73,121,Muiñeira de Florencio,,A Fonsagrada,Lugo,F major,6/8,0.15294117647058825
74,122,Muiñeira de Rodís,,Celeiro,Lugo,C major,6/8,0.296875
75,123,Muliñeira de Romeor,Romeor,Folgoso do Courel,Lugo,C major,6/8,0.07446808510638298
76,124,Muiñeira de Romeor,Romeor,Folgoso do Courel,"Lugo""",C major,6/8,0.05747126436781609
77,126,Muiñeira de Oliveira,Santiago de Oliveira,Ponteareas,Pontevedra,C major,6/8,0.96
78,128,Muiñeira de Buscás,Buscás,Ordes,A Coruña,C major,6/8,0.058823529411764705
79,130,Muiñeira da Fonsagrada,,A Fonsagrada,Lugo,C major,6/8,0.11956521739130435
80,131,Muiñeira da Fonsagrada,Pobra de Burón,A Fonsagrada,Lugo,C major,6/8,0.1504424778761062
81,134,Muiñeira de Umoso,Umoso,Viana do Bolo,Ourense,C major,6/8,0.1693548387096774
82,135,Muiñeira de Ponte Maceira,Ponte Maceira,Negreira,A Coruña,C major,6/8,0.0
83,136,Muiñeira de Calvos de Randín,,Calvos de Randín,Ourense ,C major,6/8,0.18095238095238095
84,137,Muiñeira de Aranga,,Aranga,A Coruña,C major,6/8,0.21621621621621623
85,139,Muiñeira de Santiso,,Santiso,A Coruña,C major,6/8,0.021505376344086023
86,140,Muiñeira de Xinzo,,Xinzo de Limia,Ourense,F major,6/8,0.10191082802547771
87,141,Muiñeira de Forcarei,,Forcarei,Pontevedra,G major,6/8,0.22666666666666666
88,143,Muiñeira da Fonsagrada,,A Fonsagrada,Lugo,C major,6/8,0.11764705882352941
89,144,Muiñeira de Riocereixa,Riocereixa,Pedrafita do Cebreiro,Lugo,C major,6/8,0.22388059701492538
90,145,Muiñeira de Gulpilleira,Gulpilleiras,A Fonsagrada,Lugo,C major,6/8,0.10759493670886076
91,146,Muiñeira de Pacios de Mourisco,Pacios de Mourisco,A Fonsagrada,Lugo,C major,6/8,0.19310344827586207
92,147,Muiñeira de Teixeira,Teixeira,Pobra de Brollón,Lugo,C major,6/8,0.12941176470588237
93,148,Muiñeira de Vilar de Conforto,Vilar de Conforto,A Pontenova,Lugo,C major,6/8,0.14942528735632185
94,151,Muiñeira de Ramiro,Sambreixo,Parga,Lugo,C major,6/8,0.12418300653594772
95,160,A Cruz de Lobeira,Lobeira,Vilanova de Arousa,Pontevedra,F major,6/8,0.3472222222222222
96,161,Muiñeira de Desiderio,Vilarmide,A Pontenova,Lugo,C major,6/8,0.11764705882352941
97,162,Muiñeira,,Navia de Suarna,Lugo,C major,6/8,0.25471698113207547
98,164,Ribeirana,,Ordes,A Coruña,C major,6/8,0.13333333333333333
99,165,Danza de Cambados,,Cambados,Pontevedra,C major,6/8,0.0989010989010989
100,166,Danza de Cambados,,Cambados,Pontevedra,a minor,6/8,0.12643678160919541
101,167,Muiñeira de Lugo,,Lugo,Lugo,C major,6/8,0.16326530612244897
102,168,Muiñeira de Cangas de Foz,Cangas de Foz,Foz,Lugo,C major,6/8,0.16666666666666666
103,170,Muiñeira de Oza dos Ríos,Oza dos Ríos,Betanzos,A Coruña,a minor,6/8,0.2206896551724138
104,171,Muiñeira de Navia,,Navia de Suarna,Lugo,C major,6/8,0.12987012987012986
105,172,Muiñeira de Piadela,Santo Estevo de Piadela,Betanzos,A Coruña,C major,6/8,0.0695970695970696
106,173,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8,0.0625
107,175,Muiñeira de Castrelo,Castrelo,Cambados,Pontevedra,C major,6/8,0.20930232558139536
108,184,Muiñeira de Redondela,,Redondela,Pontevedra,C major,6/8,0.09411764705882353
109,185,Muiñeira de Berdoias,Berdoias,Vimianzo,A Coruña,C major,6/8,0.3235294117647059
110,186,Muiñeira,Santiso,Vila de Cruces,Pontevedra,C major,6/8,0.022727272727272728
111,187,Muiñeira de Abellá,Abellá,Frades,A Coruña,C major,6/8,0.17073170731707318
112,189,Muiñeira de Outeiro,Outeiro,Arzúa,A Coruña,C major,6/8,0.13095238095238096
113,193,Muiñeira da Picota,Picota,Mazaricos,A Coruña,C major,6/8,0.22818791946308725
114,194,Muiñeira de Entreambasaugas,Entreambasaugas,Guntín de Pallares,Lugo,C major,6/8,0.21839080459770116
