id,name,key,time_signature,ratio_negras_corcheas,muiñeira_type,lat,lon,count_seventh,seventh_ratio,location,classification
75,Muiñeira das Nogais,C major,6/8,0.1142857142857142,C1,42.8089027,-7.1089861,13,0.1585365853658536,"As Nogais, Lugo",Not classified
76,Carballesa,C major,2/4,0.1587301587301587,C2,42.4300046,-8.0780481,8,0.0952380952380952,"O Carballiño, Ourense",Not classified
77,Muiñeira de Cercedo,C major,6/8,0.1616766467065868,C2,42.5325107,-8.392381776641137,6,0.0821917808219178,"Cercedo, Pontevedra",Rias Baixas
78,Muiñeira de Eiriz,C major,6/8,0.4680851063829787,C2,42.5894237,-7.2220799,27,0.135678391959799,"Eiriz, Folgoso do Courel, Lugo",Courel
81,Muiñeira de Pazos de Borbén,C major,6/8,1.9047619047619049,C2,42.2849584,-8.530047868320796,14,0.1627906976744186,"Pazos de Borbén, Pontevedra",Rias Baixas
82,Muiñeira de Borreiro,C major,6/8,0.1333333333333333,C2,43.2104427,-8.2903237,3,0.0379746835443038,"Borreiro, Abegondo, A Coruña",A Coruña
83,Muiñeira de Borreiro,C major,6/8,0.144578313253012,C2,43.2104427,-8.2903237,1,0.0153846153846153,"Borreiro, Abegondo, A Coruña",A Coruña
84,Muiñeira de Burón,C major,6/8,0.2076923076923077,C1,43.0244821,-5.0514632,9,0.088235294117647,"Burón, León",Not classified
85,Muiñeira de Burón,C major,6/8,0.1769230769230769,C1,43.0244821,-5.0514632,8,0.0842105263157894,"Burón, León",Not classified
89,Muiñeira de Santos,C major,6/8,0.0789473684210526,C2,43.1248311,-7.0676605,12,0.0759493670886076,"A Fonsagrada, Lugo",A Fonsagrada-Asturias
90,Montañesa de Lugo,C major,6/8,0.1929824561403508,C1,43.0118437,-7.5565749,11,0.0718954248366013,"Lugo, Lugo",Not classified
91,Montañesa de Lugo,C major,6/8,0.2123893805309734,C1,43.0462247,-7.4739921,40,0.0886917960088691,Lugo,Not classified
92,Muiñeira de San Román de Cervantes,C major,6/8,0.3068181818181818,C1,42.853731,-7.0549167,5,0.0367647058823529,"San Román, Cervantes, Lugo",Ancares
93,Muiñeira,C major,6/8,0.3333333333333333,C2,42.9644848,-6.95678939929841,7,0.0510948905109489,"Navia de Suarna, Lugo",Ancares
96,Muiñeira,C major,6/8,0.1276595744680851,C1,43.2789245,-7.1913498,0,0.0,"Vilarmide, A Pontenova, Lugo",A Fonsagrada-Asturias
97,Muiñeira,C major,6/8,0.4126984126984127,C1,43.2789245,-7.1913498,3,0.0241935483870967,"Vilarmide, A Pontenova, Lugo",A Fonsagrada-Asturias
98,Muiñeira,F major,6/8,0.75,C1,42.2647235,-8.7796487,9,0.0833333333333333,"Cangas, Pontevedra",Rias Baixas
99,Muiñeira,F major,6/8,0.75,C1,42.2903427,-8.806088,7,0.0777777777777777,"Aldán, Cangas, Pontevedra",Rias Baixas
100,Muiñeira de Aldán,F major,6/8,0.2708333333333333,C2,42.2903427,-8.806088,8,0.0930232558139534,"Aldán, Cangas, Pontevedra",Rias Baixas
106,Muiñeira de Casadelas,C major,6/8,0.0531914893617021,C1,43.1450259,-8.5763411,6,0.0697674418604651,"Lema, Baldaio, A Coruña",Not classified
107,Muiñeira de Calvos,a minor,6/8,1.7,C2,41.9444089,-7.8968131,13,0.1065573770491803,"Calvos, Calvos de Randín, Ourense",Portuguese Border
108,Muiñeira de Trarigo,C major,6/8,0.1780821917808219,C2,42.0383776,-7.904845,9,0.0909090909090909,"Trarigo, Bande, Ourense",Portuguese Border
109,Muiñeira de Lucas,C major,6/8,0.365079365079365,C2,43.1452907,-7.791647688176285,0,0.0,"Sambreixo, Parga, Lugo",Not classified
110,Muiñeira de Leiloio,C major,6/8,0.088,C1,43.2667103,-8.758421443297864,7,0.0760869565217391,"Leiloio, Malpica, A Coruña",Costa do Morte
112,Muiñeira Vella de Mórdomo,C major,6/8,0.0204081632653061,C1,43.1806055,-9.04681986216078,6,0.0689655172413793,"Traba, Laxe, A Coruña",Costa do Morte
113,Muiñeira Vella de Mórdomo,C major,6/8,0.0526315789473684,C1,43.1806055,-9.04681986216078,7,0.05,"Traba, Laxe, A Coruña",Costa do Morte
116,Muiñeira de Carballo,C major,6/8,0.1234567901234567,C2,43.2134123,-8.6891286,10,0.0641025641025641,"Carballo, A Coruña",Costa do Morte
117,Muiñeira de Grixalba,C major,6/8,0.2153846153846154,C1,43.0404996,-8.02238,11,0.0753424657534246,"Grixalba, Sobrado dos Monxes, A Coruña",Not classified
118,Muiñeira de Vilamaior,C major,6/8,0.238095238095238,C2,43.11470785,-8.331495821373032,5,0.0549450549450549,"Vilamaior, Ordes, A Coruña",A Coruña
119,Muiñeira de Cances,a minor,6/8,0.127906976744186,C1,43.24375135,-8.748642556145336,0,0.0,"Cances, Carballo, A Coruña",Costa do Morte
121,Muiñeira de Florencio,F major,6/8,0.1529411764705882,C1,43.1248311,-7.0676605,2,0.025,"A Fonsagrada, Lugo",A Fonsagrada-Asturias
122,Muiñeira de Rodís,C major,6/8,0.296875,C1,43.6775723,-7.577245,0,0.0,"Celeiro, Lugo",Not classified
123,Muliñeira de Romeor,C major,6/8,0.0744680851063829,C1,42.6407659,-7.0946001,6,0.0612244897959183,"Romeor, Folgoso do Courel, Lugo",Courel
124,Muiñeira de Romeor,C major,6/8,0.057471264367816,C1,42.6407659,-7.0946001,10,0.1204819277108433,"Romeor, Folgoso do Courel, Lugo",Courel
126,Muiñeira de Oliveira,C major,6/8,0.96,,42.1822609,-8.4523004,2,0.0194174757281553,"Santiago de Oliveira, Ponteareas, Pontevedra",Rias Baixas
128,Muiñeira de Buscás,C major,6/8,0.0588235294117647,C2,43.1015063,-8.374827040699586,2,0.0212765957446808,"Buscás, Ordes, A Coruña",A Coruña
130,Muiñeira da Fonsagrada,C major,6/8,0.1195652173913043,C1,43.1248311,-7.0676605,4,0.04,"A Fonsagrada, Lugo",A Fonsagrada-Asturias
131,Muiñeira da Fonsagrada,C major,6/8,0.1504424778761062,C1,43.1248311,-7.0676605,14,0.1505376344086021,"Pobra de Burón, A Fonsagrada, Lugo",A Fonsagrada-Asturias
134,Muiñeira de Umoso,C major,6/8,0.1693548387096774,C1,42.1334597,-7.0644252,6,0.058252427184466,"Umoso, Viana do Bolo, Ourense",Portuguese Border
135,Muiñeira de Ponte Maceira,C major,6/8,0.0,C2,42.905445,-8.6962309,4,0.0294117647058823,"Ponte Maceira, Negreira, A Coruña",Costa do Morte
136,Muiñeira de Calvos de Randín,C major,6/8,0.1809523809523809,C1,41.92502975,-7.859098930350559,11,0.0758620689655172,"Calvos de Randín, Ourense ",Portuguese Border
137,Muiñeira de Aranga,C major,6/8,0.2162162162162162,C1,43.2340593,-8.0160606,7,0.0813953488372093,"Aranga, A Coruña",Not classified
139,Muiñeira de Santiso,C major,6/8,0.021505376344086,C2,42.8460891,-8.03872,0,0.0,"Santiso, A Coruña",Not classified
140,Muiñeira de Xinzo,F major,6/8,0.1019108280254777,C1,42.0637882,-7.7245498,0,0.0,"Xinzo de Limia, Ourense",Portuguese Border
141,Muiñeira de Forcarei,G major,6/8,0.2266666666666666,C1,42.5900309,-8.3509643,7,0.0707070707070707,"Forcarei, Pontevedra",Rias Baixas
143,Muiñeira da Fonsagrada,C major,6/8,0.1176470588235294,C1,43.1248311,-7.0676605,20,0.1149425287356321,"A Fonsagrada, Lugo",A Fonsagrada-Asturias
144,Muiñeira de Riocereixa,C major,6/8,0.2238805970149253,C1,42.6423216,-7.0565107,0,0.0,"Riocereixa, Pedrafita do Cebreiro, Lugo",Courel
145,Muiñeira de Gulpilleira,C major,6/8,0.1075949367088607,C1,43.1183311,-7.1824405,15,0.0539568345323741,"Gulpilleiras, A Fonsagrada, Lugo",A Fonsagrada-Asturias
146,Muiñeira de Pacios de Mourisco,C major,6/8,0.193103448275862,C1,43.1248311,-7.0676605,2,0.0238095238095238,"Pacios de Mourisco, A Fonsagrada, Lugo",A Fonsagrada-Asturias
147,Muiñeira de Teixeira,C major,6/8,0.1294117647058823,C1,42.5996975,-7.3163647,20,0.1104972375690607,"Teixeira, Pobra de Brollón, Lugo",Courel
148,Muiñeira de Vilar de Conforto,C major,6/8,0.1494252873563218,C2,43.3604703,-7.1525053712882105,8,0.0457142857142857,"Vilar de Conforto, A Pontenova, Lugo",A Fonsagrada-Asturias
151,Muiñeira de Ramiro,C major,6/8,0.1241830065359477,C1,43.1452907,-7.791647688176285,7,0.0721649484536082,"Sambreixo, Parga, Lugo",Not classified
160,A Cruz de Lobeira,F major,6/8,0.3472222222222222,C1,42.5632279,-8.7629369,0,0.0,"Lobeira, Vilanova de Arousa, Pontevedra",Rias Baixas
161,Muiñeira de Desiderio,C major,6/8,0.1176470588235294,C1,43.2789245,-7.1913498,9,0.0489130434782608,"Vilarmide, A Pontenova, Lugo",A Fonsagrada-Asturias
162,Muiñeira,C major,6/8,0.2547169811320754,C2,42.9644848,-6.95678939929841,9,0.0927835051546391,"Navia de Suarna, Lugo",Ancares
164,Ribeirana,C major,6/8,0.1333333333333333,C1,43.076756,-8.407816,7,0.0454545454545454,"Ordes, A Coruña",A Coruña
165,Danza de Cambados,C major,6/8,0.0989010989010989,C2,42.51439,-8.8138414,1,0.0074626865671641,"Cambados, Pontevedra",Rias Baixas
166,Danza de Cambados,a minor,6/8,0.1264367816091954,C2,42.51439,-8.8138414,16,0.1568627450980392,"Cambados, Pontevedra",Rias Baixas
167,Muiñeira de Lugo,C major,6/8,0.1632653061224489,C2,43.0118437,-7.5565749,12,0.12,"Lugo, Lugo",Not classified
168,Muiñeira de Cangas de Foz,C major,6/8,0.1666666666666666,C1,43.6260123,-7.333295,20,0.2040816326530612,"Cangas de Foz, Foz, Lugo",Not classified
170,Muiñeira de Oza dos Ríos,a minor,6/8,0.2206896551724138,C2,43.2150697,-8.1859732,1,0.0163934426229508,"Oza dos Ríos, Betanzos, A Coruña",Not classified
171,Muiñeira de Navia,C major,6/8,0.1298701298701298,C2,42.9644848,-6.95678939929841,4,0.0408163265306122,"Navia de Suarna, Lugo",Ancares
172,Muiñeira de Piadela,C major,6/8,0.0695970695970696,C1,43.2729197,-8.2218227,8,0.0446927374301676,"Santo Estevo de Piadela, Betanzos, A Coruña",Not classified
173,Ribeirana de Pontevedra,C major,6/8,0.0625,C2,42.4318876,-8.6431592,9,0.0486486486486486,"Pontevedra, Pontevedra",Rias Baixas
175,Muiñeira de Castrelo,C major,6/8,0.2093023255813953,C1,42.4793217,-8.8129544,31,0.1047297297297297,"Castrelo, Cambados, Pontevedra",Rias Baixas
184,Muiñeira de Redondela,C major,6/8,0.0941176470588235,C1,42.284221,-8.6085992,2,0.0235294117647058,"Redondela, Pontevedra",Rias Baixas
185,Muiñeira de Berdoias,C major,6/8,0.3235294117647059,C1,43.0581867,-9.0859542,9,0.0545454545454545,"Berdoias, Vimianzo, A Coruña",Costa do Morte
186,Muiñeira,C major,6/8,0.0227272727272727,C2,42.7937228,-8.1699391,12,0.1263157894736842,"Santiso, Vila de Cruces, Pontevedra",Not classified
187,Muiñeira de Abellá,C major,6/8,0.1707317073170731,C1,43.0824107,-8.306377955844088,5,0.0555555555555555,"Abellá, Frades, A Coruña",A Coruña
189,Muiñeira de Outeiro,C major,6/8,0.1309523809523809,C1,42.918878,-8.2431648,7,0.0744680851063829,"Outeiro, Arzúa, A Coruña",Not classified
193,Muiñeira da Picota,C major,6/8,0.2281879194630872,C2,42.9381195,-8.9919635,7,0.0729166666666666,"Picota, Mazaricos, A Coruña",Costa do Morte
194,Muiñeira de Entreambasaugas,C major,6/8,0.2183908045977011,C1,42.8890081,-7.69235,0,0.0,"Entreambasaugas, Guntín de Pallares, Lugo",Not classified
196,Muiñeira de Cernades,a minor,6/8,0.2105263157894736,C1,42.6075172,-8.4714942,18,0.0957446808510638,Pontevedra,Rias Baixas
200,Muiñeira Vella de Dombate,C major,6/8,0.2597402597402597,C1,43.1870604,-8.9714237,10,0.0892857142857142,"Dombate, A Coruña",Costa do Morte
202,Muiñeira,C major,6/8,0.1629213483146067,C2,42.4318876,-8.6431592,0,0.0,"Pontevedra, Pontevedra",Rias Baixas
203,Muiñeira do Condado,C major,6/8,0.1063829787234042,C1,42.17671145,-8.488781069275163,7,0.0721649484536082,"O Condado, Pontevedra",Rias Baixas
204,Muiñeira de Lavadores,F major,6/8,0.1052631578947368,C2,42.2288566,-8.6911053,25,0.1196172248803827,"Lavadores, Vigo, Pontevedra",Rias Baixas
205,Muiñeira de Albite,C major,6/8,0.1309523809523809,C2,42.489646,-8.2921856,5,0.048076923076923,"Albite, Beariz, Ourense",Rias Baixas
206,Muiñeira Vella de Alvite,C major,6/8,0.1494252873563218,C2,43.099699,-8.1183034,9,0.0608108108108108,"Alvite, Curtis, A Coruña",Not classified
212,Muiñeira de Cabana,c minor,6/8,0.1349206349206349,C1,43.1433392,-9.0940115,2,0.0210526315789473,"Cabana, A Coruña",Costa do Morte
216,Muiñeira de Lañas,C major,6/8,0.1153846153846153,C1,43.2906128,-8.5303258,5,0.0485436893203883,"Lañas, Arteixo, A Coruña",A Coruña
219,Muiñeira de Chantada,C major,6/8,0.3888888888888889,C2,42.6089783,-7.8218597,0,0.0,"Chantada, Lugo",Not classified
222,Muiñeira de Santaia de Moar,C major,6/8,0.1481481481481481,C1,43.02522075,-8.316061712950571,10,0.0689655172413793,"Moar, Frades, A Coruña",A Coruña
223,Muiñeira de Rubiás,C major,6/8,0.3020833333333333,C1,41.9086858,-7.8331329,11,0.0718954248366013,"Rubiás, Calvos de Randín, Ourense",Portuguese Border
224,Muiñeira de Viceso,C major,6/8,0.06,C1,42.8680088,-8.737978,1,0.010752688172043,"Viceso, Brión, A Coruña",Costa do Morte
225,Muiñeira das Mariñas,C major,6/8,0.1088435374149659,C2,43.3709703,-8.3959425,8,0.0597014925373134,A Coruña,Not classified
226,Muiñeira,G major,6/8,0.198019801980198,C1,43.1248311,-7.0676605,12,0.1132075471698113,"A Fonsagrada, Lugo",A Fonsagrada-Asturias
232,Muiñeira de Riotorto,C major,6/8,0.196078431372549,C2,43.3248159,-7.273209287981473,27,0.1421052631578947,"Riotorto, Lugo",A Fonsagrada-Asturias
234,Muiñeira de Meiraos,a minor,6/8,0.1857142857142857,C1,43.0462247,-7.4739921,0,0.0,"Meiraos, Folgoso do Caurel, Lugo",Not classified
235,Muiñeira de Freixido,C major,6/8,0.1479289940828402,C1,42.3537797,-7.1710087,7,0.0804597701149425,"Freixido, Larouco, Ourense",Not classified
236,Muiñeira,F major,6/8,1.3902439024390243,C2,43.2134123,-8.6891286,10,0.1149425287356321,"Lugariño de Imende, Carballo, A Coruña",Costa do Morte
237,Muiñeira de Buscás,C major,6/8,0.2985074626865671,C2,43.1015063,-8.374827040699586,10,0.0490196078431372,"Buscás, Ordes, A Coruña",A Coruña
238,Muiñeira,c minor,6/8,2.136363636363636,C2,42.4750564,-8.3274493,12,0.12,"Xirazga, Beariz, Ourense",Rias Baixas
239,Muiñeira dos gaiteiros de Sar,C major,6/8,0.1521739130434782,C2,43.3709703,-8.3959425,0,0.0,A Coruña,Not classified
240,Muiñeira de Bergantiños,C major,6/8,0.2322274881516587,C2,43.3709703,-8.3959425,0,0.0,A Coruña,Not classified
241,Muiñeira da Ponte de Outeiro,C major,6/8,0.1235955056179775,C1,43.3000026,-7.3511022,0,0.0,"San Martín de Corbelle, A Pastoriza, Lugo",A Fonsagrada-Asturias
